iter	Passed	Remaining
0	142	142619
1	143	71648
2	144	48010
3	145	36216
4	157	31257
5	158	26177
6	158	22521
7	159	19784
8	160	17653
9	161	15973
10	162	14588
11	163	13465
12	165	12543
13	165	11687
14	166	10947
15	167	10303
16	168	9731
17	169	9224
18	169	8769
19	170	8361
20	171	7993
21	172	7658
22	173	7353
23	173	7070
24	175	6825
25	175	6591
26	177	6393
27	178	6202
28	179	6007
29	180	5824
30	180	5653
31	181	5490
32	182	5339
33	182	5199
34	183	5068
35	184	4941
36	185	4823
37	186	4711
38	186	4606
39	187	4507
40	188	4414
41	189	4325
42	190	4247
43	191	4166
44	192	4086
45	193	4008
46	194	3935
47	194	3865
48	195	3800
49	196	3741
50	197	3681
51	198	3621
52	199	3564
53	200	3510
54	201	3461
55	202	3414
56	203	3364
57	204	3326
58	205	3284
59	206	3238
60	207	3194
61	208	3151
62	209	3111
63	210	3071
64	211	3037
65	212	3004
66	213	2968
67	214	2933
68	214	2899
69	216	2870
70	218	2855
71	220	2843
72	221	2812
73	222	2781
74	223	2750
75	223	2720
76	224	2691
77	225	2663
78	226	2637
79	227	2611
80	227	2586
81	228	2560
82	229	2532
83	230	2508
84	231	2486
85	232	2468
86	233	2447
87	233	2424
88	234	2401
89	235	2379
90	235	2357
91	236	2335
92	237	2314
93	238	2294
94	238	2274
95	239	2255
96	240	2236
97	241	2219
98	241	2202
99	242	2184
100	243	2170
101	244	2155
102	246	2144
103	247	2128
104	247	2112
105	248	2096
106	249	2081
107	250	2065
108	250	2051
109	251	2036
110	252	2023
111	253	2011
112	254	1998
113	255	1985
114	256	1972
115	257	1960
116	258	1948
117	259	1939
118	260	1926
119	261	1914
120	261	1901
121	262	1888
122	263	1877
123	264	1866
124	265	1856
125	266	1848
126	267	1837
127	268	1826
128	268	1816
129	269	1806
130	270	1795
131	271	1786
132	272	1777
133	273	1768
134	274	1760
135	275	1750
136	276	1740
137	276	1729
138	277	1719
139	278	1710
140	279	1701
141	279	1691
142	280	1683
143	281	1674
144	282	1666
145	283	1657
146	284	1649
147	285	1640
148	285	1632
149	286	1624
150	287	1617
151	289	1614
152	290	1607
153	291	1600
154	292	1592
155	292	1584
156	293	1576
157	294	1570
158	295	1563
159	296	1555
160	296	1547
161	297	1540
162	298	1533
163	299	1526
164	300	1519
165	300	1512
166	301	1506
167	303	1501
168	304	1494
169	304	1488
170	305	1481
171	306	1475
172	307	1468
173	308	1462
174	308	1456
175	309	1451
176	310	1444
177	311	1438
178	312	1431
179	312	1425
180	313	1419
181	314	1413
182	315	1407
183	316	1401
184	317	1397
185	318	1394
186	319	1390
187	320	1384
188	321	1378
189	322	1372
190	322	1367
191	323	1361
192	324	1356
193	325	1351
194	326	1345
195	326	1340
196	327	1335
197	328	1330
198	329	1325
199	330	1320
200	330	1315
201	331	1310
202	333	1307
203	334	1303
204	334	1298
205	335	1293
